Participant	Concept	sadness	shame	anger	pride
1	death	-2.10	1.31	-1.40	-4.00
1	carefree	-2.55	-2.37	0.80	-1.21
1	good	-6.02	0.71	-0.38	-0.93
1	cruelty	6.87	1.09	-2.67	-3.25
1	praise	-5.09	0.59	4.48	0.30
1	trouble	0.11	1.11	-0.79	-3.87
2	death	3.46	1.75	-0.29	-0.92
2	carefree	0.60	-1.81	-0.53	-3.26
2	good	1.53	2.09	0.16	2.75
2	cruelty	0.37	-0.57	-0.45	4.50
2	praise	0.84	1.69	0.02	4.57
2	trouble	0.92	2.74	1.33	-6.89
3	death	-1.97	1.06	-0.06	-2.62
3	carefree	1.77	-1.54	-2.92	-4.26
3	good	-0.67	1.15	-1.93	1.23
3	cruelty	1.19	2.34	3.62	4.04
3	praise	-1.15	0.56	1.56	-3.92
3	trouble	1.57	-1.31	2.00	2.13
4	death	3.19	-0.75	-0.11	1.07
4	carefree	2.50	0.45	-1.27	-1.64
4	good	3.63	0.04	-0.98	-1.30
4	cruelty	-0.81	-0.13	-0.42	-1.46
4	praise	-6.03	-1.81	2.59	-1.32
4	trouble	1.13	1.24	0.49	-0.98
5	death	5.92	2.11	-0.60	-1.32
5	carefree	-3.04	-2.72	0.72	4.94
5	good	6.82	1.45	-2.93	-3.64
5	cruelty	1.96	-1.63	-3.05	1.52
5	praise	2.15	-0.69	1.68	-1.38
5	trouble	0.26	2.23	0.94	-6.27
6	death	-2.79	0.00	1.45	1.11
6	carefree	1.74	1.88	0.78	-2.16
6	good	-2.15	-2.03	0.59	1.85
6	cruelty	1.74	0.59	-1.30	3.19
6	praise	8.26	2.31	-1.67	-1.94
6	trouble	-3.90	-0.66	-1.15	5.80
7	death	4.74	1.41	-1.37	-0.39
7	carefree	2.91	-0.20	1.31	-5.11
7	good	2.24	-2.80	-3.37	1.71
7	cruelty	4.17	2.79	-3.27	3.30
7	praise	-1.14	0.41	0.49	-2.87
7	trouble	2.17	-1.08	-1.69	4.49
8	death	3.26	-0.14	-1.88	-0.21
8	carefree	3.56	0.46	-1.15	-1.99
8	good	-1.16	-0.10	0.97	1.50
8	cruelty	6.58	2.67	2.73	-3.11
8	praise	0.73	0.00	2.14	-1.13
